epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5812.16,0.70356,0.48338,0.00802,0.86833,0.77026,0.85128,0.69285,0.82528,0.62121,0.01309,0.00032155,0.00032155,0.00032155
43,5948.5,0.69756,0.48168,0.00782,0.84031,0.7765,0.84198,0.68536,0.82798,0.65394,0.01313,0.000314051,0.000314051,0.000314051
44,6086.87,0.70591,0.48778,0.00783,0.86029,0.77723,0.8565,0.69905,0.81998,0.64599,0.01312,0.00030649,0.00030649,0.00030649
45,6224.91,0.68987,0.47699,0.0076,0.83226,0.7806,0.84395,0.68923,0.8081,0.65635,0.01283,0.000298877,0.000298877,0.000298877
46,6361.44,0.69238,0.47242,0.00782,0.85854,0.75932,0.84234,0.68982,0.80389,0.69025,0.01267,0.000291218,0.000291218,0.000291218
47,6499.39,0.68712,0.46563,0.00764,0.86222,0.75152,0.84657,0.69342,0.8098,0.64458,0.01286,0.00028352,0.00028352,0.00028352
48,6636.67,0.68811,0.4632,0.00748,0.8318,0.78838,0.84384,0.6955,0.80529,0.64433,0.01272,0.000275792,0.000275792,0.000275792
49,6773.02,0.67156,0.4413,0.0076,0.82746,0.79351,0.85385,0.70419,0.79303,0.61178,0.0125,0.000268041,0.000268041,0.000268041
50,6909.42,0.6737,0.44691,0.00764,0.84206,0.77606,0.85019,0.69928,0.79879,0.6246,0.01261,0.000260274,0.000260274,0.000260274
51,7045.79,0.67447,0.44213,0.00758,0.86105,0.78709,0.85822,0.703,0.79582,0.63104,0.01248,0.0002525,0.0002525,0.0002525
52,7183.3,0.66126,0.43532,0.00739,0.83531,0.77913,0.84932,0.70011,0.79642,0.62277,0.0125,0.000244726,0.000244726,0.000244726
53,7320.97,0.67083,0.44549,0.00754,0.83893,0.79779,0.84815,0.70155,0.80637,0.63402,0.01276,0.000236959,0.000236959,0.000236959
54,7458.7,0.65584,0.42363,0.00724,0.84055,0.77748,0.8454,0.6993,0.79068,0.62228,0.01242,0.000229208,0.000229208,0.000229208
55,7595.54,0.65904,0.43042,0.00739,0.833,0.80207,0.85169,0.70318,0.79553,0.59267,0.01254,0.00022148,0.00022148,0.00022148
56,7733.81,0.65853,0.41866,0.0072,0.88331,0.7767,0.85666,0.70558,0.79472,0.63087,0.01255,0.000213782,0.000213782,0.000213782
57,7870.17,0.65394,0.41139,0.00739,0.84763,0.79109,0.85592,0.7052,0.78884,0.58961,0.01245,0.000206123,0.000206123,0.000206123
58,8008.38,0.65149,0.4176,0.00709,0.8461,0.79141,0.85663,0.7089,0.78204,0.59181,0.01229,0.00019851,0.00019851,0.00019851
59,8145.82,0.6545,0.42033,0.00735,0.87738,0.78102,0.85721,0.71089,0.78988,0.61663,0.01248,0.000190949,0.000190949,0.000190949
60,8284.98,0.65064,0.40183,0.00707,0.88511,0.7832,0.85964,0.71255,0.77781,0.59953,0.01227,0.00018345,0.00018345,0.00018345
61,8425.68,0.64588,0.40773,0.00729,0.87353,0.78675,0.85353,0.70907,0.77385,0.61216,0.01216,0.000176018,0.000176018,0.000176018
62,8564.12,0.63272,0.39713,0.00685,0.85862,0.77857,0.85134,0.70485,0.78314,0.61271,0.01234,0.000168662,0.000168662,0.000168662
63,8699.96,0.63898,0.39042,0.00694,0.85611,0.7917,0.85375,0.70987,0.78015,0.6071,0.01234,0.000161389,0.000161389,0.000161389
64,8835.29,0.63375,0.39488,0.00675,0.87776,0.78809,0.85627,0.71243,0.77653,0.60122,0.01211,0.000154206,0.000154206,0.000154206
65,8973.15,0.6361,0.38978,0.00718,0.86662,0.78425,0.85314,0.70846,0.77449,0.61531,0.01218,0.00014712,0.00014712,0.00014712
66,9111.56,0.64031,0.38374,0.00695,0.87456,0.7723,0.84758,0.70638,0.77863,0.62632,0.01223,0.000140137,0.000140137,0.000140137
67,9250.35,0.62277,0.37117,0.00678,0.85508,0.79065,0.849,0.70865,0.77181,0.61018,0.01214,0.000133266,0.000133266,0.000133266
68,9387.74,0.62133,0.3804,0.00683,0.85349,0.79784,0.85109,0.70966,0.7674,0.60512,0.01206,0.000126512,0.000126512,0.000126512
69,9525.92,0.62582,0.37437,0.00662,0.84327,0.81172,0.85168,0.70898,0.77073,0.58997,0.01201,0.000119883,0.000119883,0.000119883
70,9661.34,0.62405,0.37526,0.00661,0.85592,0.79308,0.85105,0.71167,0.76793,0.59979,0.01198,0.000113384,0.000113384,0.000113384
71,9800.42,0.61237,0.36956,0.00677,0.87551,0.79036,0.85437,0.71396,0.76841,0.59905,0.01203,0.000107023,0.000107023,0.000107023
72,9938.03,0.59957,0.36249,0.00647,0.87143,0.78071,0.85134,0.70897,0.77049,0.60381,0.01209,0.000100806,0.000100806,0.000100806
