epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,24941.9,0.03522,0.95365,0.99541,0.27233,0.000214046,0.000214046,0.000214046
72,25277.6,0.03635,0.95112,0.99564,0.2822,0.000201611,0.000201611,0.000201611
73,25611.3,0.03595,0.95158,0.99564,0.28316,0.000189475,0.000189475,0.000189475
74,25990,0.03328,0.95342,0.99564,0.27829,0.000177651,0.000177651,0.000177651
75,26347.2,0.03381,0.95158,0.99587,0.2748,0.000166149,0.000166149,0.000166149
76,26688.8,0.03542,0.95503,0.99564,0.27813,0.000154982,0.000154982,0.000154982
77,27042.8,0.03375,0.95227,0.99633,0.27248,0.000144161,0.000144161,0.000144161
78,27413.9,0.03273,0.95044,0.99541,0.28336,0.000133695,0.000133695,0.000133695
79,27753.4,0.03424,0.94929,0.99518,0.28081,0.000123596,0.000123596,0.000123596
80,28094,0.02879,0.95319,0.99472,0.27975,0.000113873,0.000113873,0.000113873
81,28484,0.03351,0.9525,0.99518,0.26673,0.000104537,0.000104537,0.000104537
82,28872.2,0.0277,0.95112,0.99495,0.27695,9.55951e-05,9.55951e-05,9.55951e-05
83,29256.6,0.03125,0.95227,0.99518,0.2786,8.70577e-05,8.70577e-05,8.70577e-05
84,29640.1,0.02879,0.95021,0.99541,0.2779,7.89327e-05,7.89327e-05,7.89327e-05
85,30025.1,0.03194,0.94906,0.99564,0.27682,7.12282e-05,7.12282e-05,7.12282e-05
86,30367.6,0.02862,0.95089,0.99587,0.2791,6.39518e-05,6.39518e-05,6.39518e-05
87,30705.7,0.0278,0.95158,0.99541,0.27903,5.71106e-05,5.71106e-05,5.71106e-05
88,31043.7,0.02827,0.95204,0.99587,0.2881,5.07115e-05,5.07115e-05,5.07115e-05
89,31382.3,0.02626,0.95204,0.99564,0.28712,4.47606e-05,4.47606e-05,4.47606e-05
90,31730.5,0.03023,0.95204,0.99541,0.28439,3.9264e-05,3.9264e-05,3.9264e-05
91,32109.4,0.02977,0.95089,0.99541,0.28249,3.4227e-05,3.4227e-05,3.4227e-05
92,32419,0.02826,0.95204,0.99518,0.28188,2.96546e-05,2.96546e-05,2.96546e-05
93,32728.5,0.02528,0.95158,0.99541,0.28082,2.55513e-05,2.55513e-05,2.55513e-05
94,33046,0.02587,0.95181,0.99541,0.27958,2.19212e-05,2.19212e-05,2.19212e-05
95,33374.8,0.02584,0.95227,0.99541,0.28146,1.87678e-05,1.87678e-05,1.87678e-05
96,33688.9,0.02572,0.9525,0.99564,0.28179,1.60943e-05,1.60943e-05,1.60943e-05
